2025-06-01 19:41:53 startup archives unpack
2025-06-01 19:41:53 upgrade libapt-pkg6.0t64:amd64 2.7.14build2 2.8.3
2025-06-01 19:41:53 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.4
2025-06-01 19:41:53 status half-configured libapt-pkg6.0t64:amd64 2.7.14build2
2025-06-01 19:41:53 status unpacked libapt-pkg6.0t64:amd64 2.7.14build2
2025-06-01 19:41:53 status half-installed libapt-pkg6.0t64:amd64 2.7.14build2
2025-06-01 19:41:53 status unpacked libapt-pkg6.0t64:amd64 2.8.3
2025-06-01 19:41:53 startup packages configure
2025-06-01 19:41:53 configure libapt-pkg6.0t64:amd64 2.8.3 <none>
2025-06-01 19:41:53 status unpacked libapt-pkg6.0t64:amd64 2.8.3
2025-06-01 19:41:53 status half-configured libapt-pkg6.0t64:amd64 2.8.3
2025-06-01 19:41:53 status installed libapt-pkg6.0t64:amd64 2.8.3
2025-06-01 19:41:53 startup archives unpack
2025-06-01 19:41:54 upgrade apt:amd64 2.7.14build2 2.8.3
2025-06-01 19:41:54 status half-configured apt:amd64 2.7.14build2
2025-06-01 19:41:54 status unpacked apt:amd64 2.7.14build2
2025-06-01 19:41:54 status half-installed apt:amd64 2.7.14build2
2025-06-01 19:41:54 status triggers-pending man-db:amd64 2.12.0-4build2
2025-06-01 19:41:54 status unpacked apt:amd64 2.8.3
2025-06-01 19:41:54 startup packages configure
2025-06-01 19:41:54 configure apt:amd64 2.8.3 <none>
2025-06-01 19:41:54 status unpacked apt:amd64 2.8.3
2025-06-01 19:41:54 status half-configured apt:amd64 2.8.3
2025-06-01 19:41:52 status installed apt:amd64 2.8.3
2025-06-01 19:41:52 startup archives unpack
2025-06-01 19:41:52 upgrade apt-utils:amd64 2.7.14build2 2.8.3
2025-06-01 19:41:52 status half-configured apt-utils:amd64 2.7.14build2
2025-06-01 19:41:52 status unpacked apt-utils:amd64 2.7.14build2
2025-06-01 19:41:52 status half-installed apt-utils:amd64 2.7.14build2
2025-06-01 19:41:52 status unpacked apt-utils:amd64 2.8.3
2025-06-01 19:41:52 upgrade python3-problem-report:all 2.28.1-0ubuntu3.5 2.28.1-0ubuntu3.6
2025-06-01 19:41:52 status half-configured python3-problem-report:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:52 status unpacked python3-problem-report:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:52 status half-installed python3-problem-report:all 2.28.1-0ubuntu3.5
2025-06-01 19:41:52 status unpacked python3-problem-report:all 2.28.1-0ubuntu3.6
